Weeks of the year,VALUE
Week 01,184047
Week 02,225426
Week 03,241094
Week 04,274293
Week 05,293209
Week 06,298548
Week 07,295635
Week 08,302427
Week 09,319517
Week 10,316221
Week 11,314256
Week 12,310281
Week 13,337105
Week 14,333218
Week 15,345061
Week 16,340040
Week 17,326313
Week 18,336415
Week 19,367620
Week 20,364591
Week 21,400252
Week 22,414633
Week 23,351030
Week 24,403216
Week 25,425115
Week 26,401680
Week 27,402776
Week 28,384792
Week 29,386315
Week 30,381066
Week 31,370788
Week 32,385414
Week 33,394475
Week 34,407670
Week 35,394870
Week 36,441116
Week 37,464639
Week 38,468498
Week 39,495114
Week 40,499121
Week 41,490773
Week 42,507315
Week 43,527175
Week 44,472903
Week 45,530589
Week 46,535652
Week 47,535559
Week 48,547010
Week 49,537455
Week 50,526929
Week 51,420463
Week 52,289972
